variables,mean_abs,smape_loss,mean_square_error
InletPressure,31.46100523727905,79.1586492951557,1390.2466613814445
OutletPressure,901.81824606201,68.76728379643242,942466.807527945
OutletTemperature,25.542600189213694,38.32325512497421,1555.1760608386837
InverterSpeed,1139.1534452159983,53.10445849538342,1702535.1452917478
temperature,7.382773693710005,25.69079461852713,181.94212149844927
frequency,9.57509489132305,26.309410440680068,285.45845445053743
phaseA_voltage,31.259512048811406,24.286770640814307,3823.9148082112392
phaseA_current,0.9564970415804842,51.95454443922585,1.287954395203621
phaseA_pwr_factor,0.1479789688930331,29.509925822427725,0.0523611760948104
phaseA_active,450933285.78856856,25.18673205183475,7.131030110104452e+17
phaseA_reactive,59938020.69200591,25.312948736048547,1.2422236559396754e+16
phaseB_voltage,31.250359895237818,24.27580805666845,3826.719370009533
phaseB_current,1.024224548504225,51.98981948254882,1.496969660939047
phaseB_pwr_factor,0.15138240619704382,29.689303463145443,0.05432125887545453
phaseB_active,473960498.1040573,25.182051749839406,7.882127768626048e+17
phaseB_reactive,50866252.21044308,25.25248108941293,9006879757750621.0
phaseC_voltage,31.126999503557208,24.242130953264688,3812.1875268882727
phaseC_current,0.9866997373694656,51.95089166748965,1.3907141809716503
phaseC_pwr_factor,0.15473046101557184,30.13573920530648,0.05499949529492314
phaseC_active,454721293.090704,25.178000631369756,7.258491440413633e+17
phaseC_reactive,36578702.12248744,25.39163766858796,4586080595807759.0
OAVelocity_x,1.4319386180383915,34.616777411277766,4.088022678753585
Peakmg_x,7.375121781349625,107.65871563830211,74.33758089796056
RMSmg_x,5.1883903730871905,102.44966095265941,37.10157508071866
Kurtosis_x,7.750823537477036,24.70926412736237,222.77573267935142
CrestFactor_x,114.50817280150908,28.406672399407885,33547.64034448003
Skewness_x,1.5505095020954247,20.688132381338843,15.83927951542978
Deviation_x,3.5280205656221866,199.99999866802406,16.17941492578745
Peak-to-Peak Displacement_x,0.44247155410551764,35.9047797010854,0.3386716594581559
OAVelocity_y,3.730989442757569,53.89971684671872,20.463903254252887
Peakmg_y,14.567203066544565,138.36697723995243,303.72136020687907
RMSmg_y,10.27317604481849,134.3713666440117,151.21504892631236
Kurtosis_y,0.9706262305009744,26.962213095388453,3.015978805209353
CrestFactor_y,71.41246628852923,22.378988839945762,25732.95156182004
Skewness_y,0.5525444143571833,23.17254948353785,1.3719647793620666
Deviation_y,2.567226331431216,199.99999871840697,9.304461804156409
Peak-to-Peak Displacement_y,0.569113303076347,24.672408273376675,1.2114992922580308
OAVelocity_z,3.0645975592168693,32.683631907091815,18.119971715782217
Peakmg_z,10.050106822854225,123.58403780776896,133.09966996132917
RMSmg_z,7.096775925564957,121.25544160995881,66.55562801270764
Kurtosis_z,2.841824058079301,23.61915902104473,35.13847964052111
CrestFactor_z,84.02516953167591,30.657026278625015,15295.743790393537
Skewness_z,0.7582205941332757,59.799437127319635,0.6779848928895188
Deviation_z,0.8712621907130033,199.99999262096202,0.9825466212128731
Peak-to-Peak Displacement_z,0.46748108515766396,26.539614798055066,0.672246315702102
