,ds,y
142,2023-02-17 02:20:00,52.0
143,2023-02-17 02:30:00,52.0
144,2023-02-17 02:40:00,52.0
145,2023-02-17 02:50:00,52.0
146,2023-02-17 03:00:00,52.0
147,2023-02-17 03:10:00,52.0
148,2023-02-17 03:20:00,52.0
149,2023-02-17 03:30:00,52.0
150,2023-02-17 03:40:00,52.0
151,2023-02-17 03:50:00,52.0
152,2023-02-17 04:00:00,52.0
153,2023-02-17 04:10:00,52.0
154,2023-02-17 04:20:00,52.0
155,2023-02-17 04:30:00,52.0
156,2023-02-17 04:40:00,52.0
157,2023-02-17 04:50:00,52.0
158,2023-02-17 05:00:00,52.0
159,2023-02-17 05:10:00,52.0
160,2023-02-17 05:20:00,52.0
161,2023-02-17 05:30:00,52.0
162,2023-02-17 05:40:00,52.0
163,2023-02-17 05:50:00,52.0
164,2023-02-17 06:00:00,52.0
165,2023-02-17 06:10:00,52.0
166,2023-02-17 06:20:00,52.0
167,2023-02-17 06:30:00,52.0
168,2023-02-17 06:40:00,52.0
169,2023-02-17 06:50:00,52.0
170,2023-02-17 07:00:00,52.0
171,2023-02-17 07:10:00,52.0
172,2023-02-17 07:20:00,52.0
173,2023-02-17 07:30:00,52.0
174,2023-02-17 07:40:00,52.0
175,2023-02-17 07:50:00,52.0
176,2023-02-17 08:00:00,52.0
177,2023-02-17 08:10:00,52.0
178,2023-02-17 08:20:00,52.0
179,2023-02-17 08:30:00,52.0
180,2023-02-17 08:40:00,52.0
181,2023-02-17 08:50:00,52.0
182,2023-02-17 09:00:00,52.0
183,2023-02-17 09:10:00,52.0
184,2023-02-17 09:20:00,52.0
185,2023-02-17 09:30:00,52.0
186,2023-02-17 09:40:00,52.0
187,2023-02-17 09:50:00,52.0
188,2023-02-17 10:00:00,52.0
189,2023-02-17 10:10:00,51.57971014492754
190,2023-02-17 10:20:00,51.0
191,2023-02-17 10:30:00,51.0
192,2023-02-17 10:40:00,51.0
193,2023-02-17 10:50:00,51.77142857142857
194,2023-02-17 11:00:00,52.0
195,2023-02-17 11:10:00,52.0
196,2023-02-17 11:20:00,52.07575757575758
197,2023-02-17 11:30:00,53.0
198,2023-02-17 11:40:00,53.16326530612245
199,2023-02-17 11:50:00,54.0
200,2023-02-17 12:00:00,54.0
